Filename,symmetry_index,aspect_ratio,pixel_ratio,Red Min,Red Max,Red Mean,Green Min,Green Max,Green Mean,Blue Min,Blue Max,Blue Mean,Red Median,Red Std Dev,Green Median,Green Std Dev,Blue Median,Blue Std Dev,Blue Entropy,Green Entropy,Red Entropy,Area-Perimeter Ratio,Contour Perimeter,Hu Moment 1,Hu Moment 2,Hu Moment 3,Hu Moment 4,Hu Moment 5,Hu Moment 6,Hu Moment 7
123,66.64550436689797,0.6334638178242125,0.0302785,2,255,113.03840046017251,1,255,90.63634386968303,1,255,84.19717173726274,115.0,76.30952605902499,78.0,71.50702203227968,62.0,74.75051225712275,7.5701036,7.6360183,7.8474207,103.52313975598513,6986.099935770035,0.6952521979920236,2.431578685256492,3.0029749244405495,5.201629446275335,9.26447544391519,-7.0443386083121124,-9.491137052670682
124,66.64550436689797,0.889914101797407,0.032656375,1,255,71.88912961928021,1,255,66.42651770437126,1,255,54.17231091852073,73.0,51.874154995785375,69.0,49.83650600148139,47.0,49.178215871287854,6.957497,7.1275077,7.2887483,104.76506287770316,7451.057428479195,0.6601679597702866,2.771804132802275,3.598457309002369,4.053588951576119,-7.881811092902167,5.688171089783283,-8.659514554077148
125,66.64550436689797,0.688693975803556,0.038882208333333335,1,255,65.16614836278842,1,255,54.26326663580406,1,255,38.696229196931746,52.0,54.534697858504394,45.0,47.56385767636129,23.0,47.53078171559868,6.523909,7.044736,7.2788606,110.38048414754303,8420.745815515518,0.6643644432056525,2.6647492442585383,2.399487507952289,4.424055648602774,-7.837450542819156,-5.815888832603925,8.654199126756959
126,66.64550436689797,0.5646727933951377,0.04084775,1,255,78.70739658732037,1,255,60.9340179916621,1,255,56.01380243032058,58.0,67.6622433210776,37.0,59.0914272771551,27.0,61.00885449992696,7.055074,7.22606,7.575343,138.07722668067632,7079.07468521595,0.6531527897859312,1.7510545748778883,3.7426615954210214,4.105207008339205,8.045345125008357,5.3550070975301995,-8.531309215122556
127,66.64550436689797,0.8243884531602839,0.032170333333333336,1,255,87.26014814392678,1,255,73.98789208568797,1,255,56.5659719343338,87.0,52.73402151694145,71.0,50.6352822789704,50.0,42.21195395713009,7.0579033,7.3550596,7.5389705,117.91507372586334,6523.2584409713745,0.7299630332176991,2.8151839896205444,3.1195015194199383,4.814991309289494,9.384637872832393,-6.232015802929075,-8.764166399371282
128,66.64550436689797,0.8455371372884608,0.04239645833333333,1,255,56.288031166554134,1,255,46.42286526702659,1,255,46.1934014903878,38.0,53.232464747375076,22.0,48.5437700617364,18.0,52.06759152638376,6.5994196,6.6284595,6.94713,115.78132626917368,8759.404756188393,0.7128044167739708,2.8588714781539037,3.226651188350345,4.118739764488889,-7.962943723612465,5.616804112477628,-7.915941958220778
129,66.64550436689797,0.8926102712053429,0.030271125,1,255,86.14045150287609,1,255,66.32025916178479,1,255,53.61634328615215,91.0,50.60168665195235,63.0,45.54533060322647,51.0,38.58660178959806,6.952722,7.0856724,7.325461,102.55177872117753,7053.68067741394,0.6287907312420657,2.8558696066505456,2.1356549333398025,3.6594250705772113,6.804136941536258,5.352198916034009,6.640510116694591
130,66.64550436689797,0.8839418023906859,0.02017875,3,255,75.02804724441967,1,255,56.87590520418846,1,255,49.118713707603355,61.0,56.05831992748551,42.0,45.47369334330291,31.0,46.40285332390269,6.8861127,7.0583363,7.430748,78.33190506964087,6146.512070298195,0.7070820057075864,3.1098041519957773,3.6569898099770666,3.747814158451224,7.48672128203113,-6.469128409142233,7.845218603744778
131,66.64550436689797,0.8955788651362634,0.03304125,1,255,65.06982496458802,1,255,55.881816072297845,1,255,54.26583755864459,30.0,69.45838866925253,19.0,65.70744534650939,15.0,65.23681776870235,6.6740484,6.7586455,7.10234,119.89970886086847,6588.6857233047485,0.7434873619769187,3.613213421534437,4.132311318128712,4.439958347055717,-9.174338242242618,-6.374897408557743,-8.723409336557467
132,66.64550436689797,0.9432687783973193,0.030832875,1,255,60.98309569466573,1,255,48.526671567806,1,255,48.83396386627113,49.0,52.011325306487876,31.0,46.832681501045364,26.0,49.963818646861,6.7575145,6.833352,7.169159,105.53972405206774,6980.921227693558,0.7074131409325352,2.7738254621318132,3.566822540419532,4.024237095699347,-8.530618806292878,-6.314893743131562,-7.824671276097868
133,66.64550436689797,0.8425226552895032,0.03890025,1,255,89.01127139830463,1,255,81.81771957467365,1,255,69.2475369009033,82.0,59.66821151510721,68.0,59.882759062715294,51.0,59.831293488627686,7.4177895,7.566913,7.661827,106.59817939517598,8732.12849676609,0.6770712696257708,2.4777152690932005,2.4806767651760784,3.7948783844146354,7.436744651380161,5.985102894703837,-6.954565277466612
134,66.64550436689797,0.6957263216225844,0.038781333333333334,1,255,68.18953317217297,1,255,55.561166183514665,1,255,52.64678032032925,43.0,64.73275376019184,28.0,58.853370282044494,23.0,59.837389335277486,6.8806677,6.962926,7.308787,130.90810648905733,7086.218912482262,0.6637314299509954,2.0284097500789877,3.794671350804017,4.185703970173381,-8.265503983603201,-5.2178534152755365,-8.385677099800043
135,66.64550436689797,0.6045698127610991,0.020028,1,255,99.67920744291325,1,255,84.23393131684666,1,255,71.20467042404836,99.0,70.1937183329122,79.0,65.87671119161732,47.0,65.60661649898657,7.4079137,7.503893,7.746404,76.4463835039818,6250.668482899666,0.6444041796163584,1.8862803796839984,3.3075459051058376,4.194567653648189,-7.959334102318718,-5.653577555937572,8.485533219448172
136,66.64550436689797,0.7266699100292122,0.035679375,1,255,59.077856604831226,1,255,44.63238713399346,1,255,44.9525007533445,47.0,48.69757788791372,30.0,43.03443691857957,28.0,45.08026509670401,6.8163137,6.830143,7.224887,180.19521970035512,4740.2866814136505,0.7360460245503511,2.339963837922834,3.23855546065005,4.426355593575982,8.447828329936149,5.780518471175589,-8.358131735944605
137,66.64550436689797,0.7972189046857716,0.0216115,1,255,90.20307207045673,1,255,71.05013121385835,1,255,59.81240792873395,87.0,61.477050012937454,61.0,55.606699027661485,47.0,49.7903372795414,7.1421576,7.355156,7.6535254,100.56616093789135,5183.319072127342,0.7559336033574204,3.2452102860558556,3.594994446518995,4.48123858506335,-8.529326315272558,6.192526132972465,8.96027087818245
138,66.64550436689797,0.8927814241376952,0.029323125,1,255,54.91538005721001,1,255,40.48955995935682,1,255,31.149775237596828,41.0,48.7291049441437,24.0,41.509618208895525,18.0,37.48206589845655,6.28326,6.6713214,7.112449,130.58713795191542,5370.456164360046,0.6999573206514599,2.0947830201574216,3.489040190376977,5.1190358114147045,-9.327526186838934,6.404670411665739,9.762362643348865
139,66.64550436689797,0.6703920291261238,0.024273375,7,255,105.6927600714775,4,226,93.3037930791797,1,255,81.12819098197943,92.0,51.09277092240722,86.0,44.67399119695223,66.0,54.12170316462339,7.546493,7.3633637,7.5095077,106.27056037200563,5458.237897396088,0.6230325029728622,1.9692393160544532,2.284486513105891,3.372735833774064,-6.679076247418627,-4.816000785257555,-6.226748518620245
140,66.64550436689797,0.81355799763416,0.021783875,16,246,135.48870628695155,10,231,118.74709504163056,6,255,98.21545370906998,140.0,45.13782409308563,120.0,39.98686519375131,98.0,44.70080842469449,7.4416857,7.3439136,7.4740624,110.5389989879818,4710.654201388359,0.7048691936531464,2.6683376096419034,2.567808617353286,4.273565977823273,7.6921478689199105,5.615343205441033,-9.442148425283666
141,66.64550436689797,0.8067084942084942,0.02043954166666667,6,255,125.05788004868015,1,254,113.74758077174758,1,255,91.97996745195289,122.0,62.465725097065274,114.0,52.06538199352087,90.0,51.1614456420964,7.5412946,7.62239,7.809737,77.82322831994784,6265.911997318268,0.7101472428936235,3.16860282753859,3.2776745686311948,4.8497695126039275,-8.91249238409427,6.513679487776135,-9.238654083491374
